Element,A,Z,Iso,Spin,Maxw.(n-g),error,(n-g),error,(n-el),error,(n-a),error,(n-p),error,(n-f),error,Iso
H,1,1,0,,,,0.3326,0.0007,20.491,0.014,,,,,,,H001
H,2,1,0,,5.08e-4,1.5e-5,,,3.390,0.012,,,,,,,H002
H,3,1,0,1/2+,6e-6,,,,1.70,0.03,,,,,,,H003
He,3,2,0,1/2+,5.5e-5,3e-6,,,3.10,0.13,,,5333,8,,,He003
He,4,2,0,0+,,,,,0.79,0.02,,,,,,,He004
Li,6,3,0,1+,0.0393,0.0007,,,0.75,0.02,940,4,,,,,Li006
Li,7,3,0,3/2-,0.0442,0.0005,,,0.97,0.04,,,,,,,Li007
Be,7,4,0,3/2-,,,,,,,0.1,,38820,809,,,Be007
Be,9,4,0,3/2-,8.27e-3,1.3e-4,,,6.151,0.005,,,,,,,Be009
Be,10,4,0,,1.0e-3,,,,,,,,,,,,Be010
B,10,5,0,,0.394,0.015,,,2.23,0.06,3837,9,,,,,B010
B,11,5,0,3/2-,9.0e-3,0.2e-3,,,4.83,0.04,,,,,,,B011
C,12,6,0,0+,,,3.87e-3,0.3e-4,4.746,0.002,,,,,,,C012
C,13,6,0,1/2-,1.50e-3,2e-5,,,4.19,0.12,,,,,,,C013
C,14,6,0,0+,1e-6,,,,,,,,,,,,C014
N,14,7,0,1+,80.1e-3,0.6e-3,,,10.02,0.12,,,1.86,0.03,,,N014
N,15,7,0,1/2-,2.4e-5,8e-6,,,4.59,0.05,,,,,,,N015
O,16,8,0,0+,1.90e-4,1.9e-5,,,3.761,0.006,,,,,,,O016
O,17,8,0,5/2+,5.38e-4,6.5e-5,,,3.61,0.06,0.235,0.01,,,,,O017
O,18,8,0,0+,1.6e-4,1e-5,,,,,,,,,,,O018
F,19,9,0,1/2+,9.51e-3,9e-5,,,3.641,0.01,,,,,,,F019
Ne,20,10,0,0+,37e-3,4e-3,,,2.47,0.03,,,,,,,Ne020
Ne,21,10,0,3/2+,0.666,0.11,,,5.22,0.30,1.8e-4,7e-5,,,,,Ne021
Ne,22,10,0,0+,5.27e-2,7.0e-3,,,1.705,0.009,,,,,,,Ne022
Na,22,11,0,3+,,,462,,,,262,50,27840,2400,,,Na022
Na,23,11,0,3/2+,0.501,0.030,0.525,0.005,3.038,0.007,,,,,,,Na023
Mg,24,12,0,0+,,,0.0538,0.0013,3.74,0.04,,,,,,,Mg024
Mg,25,12,0,5/2+,0.199,0.003,,,1.73,0.13,,,,,,,Mg025
Mg,26,12,0,0+,,,0.0374,0.0004,2.83,0.17,,,,,,,Mg026
Mg,27,12,0,,0.07,0.02,,,,,,,,,,,Mg027
Al,26,13,0,5+,,,,,,,0.335,0.014,1.97,0.01,,,Al026
Al,27,13,0,5/2+,,,0.231,0.003,1.4134,0.001,,,,,,,Al027
Si,28,14,0,0+,0.177,0.004,,,1.992,0.006,,,,,,,Si028
